username,location,text
tarlouze,"Araçatuba, Brasil",Feedbro https://t.co/Q7zsLqwTu4
hmpb2010,,@Andromedaaas @jairbolsonaro @minsaude @SENAInacional @casacivilbr @mctic @DefesaGovBr @ReceitaFederal… https://t.co/CpMz6cWCyg
SManipulado,,"And the winner is @BoletimCoppolla
Com mais mais um nocaute, esse record! 

https://t.co/UNAnSoQeMD"
tarlouze,"Araçatuba, Brasil",Feedbro https://t.co/IB9zWGwwLM
RosanaO46940653,,"RT @CrisKrikaa2: @felipeneto da entrevista ao NYT e fala do PR. Genocida!!
#AceitaMaia 
Trump Isn’t the Worst Pandemic President https://t.…"
marcoaps1,"São Bernardo do Campo, Brasil","RT @CrisKrikaa2: @felipeneto da entrevista ao NYT e fala do PR. Genocida!!
#AceitaMaia 
Trump Isn’t the Worst Pandemic President https://t.…"
anaescaleira,"Rio de Janeiro, Brasil","@nytopinion @felipeneto Fora Bolsonaro! Genocida! Bolsonaro is killing Brazilian citizens! In August it will be 100,000 deaths"
Cavalheira,Faore Islands,"RT @CrisKrikaa2: @felipeneto da entrevista ao NYT e fala do PR. Genocida!!
#AceitaMaia 
Trump Isn’t the Worst Pandemic President https://t.…"
CrisKrikaa2,Brasil,"@felipeneto da entrevista ao NYT e fala do PR. Genocida!!
#AceitaMaia 
Trump Isn’t the Worst Pandemic President https://t.co/nmXG2SwZeL"
TranslatingBraz,,Protesters put crosses and “Bolsonaro Genocida” banner in front of Havan's store in RS.  The mobilization happens b… https://t.co/FggIIOmiyF
